user_input,correct_input,distance,ratio,user_input_clean,correct_input_clean,distance_clean,ratio_clean,timestamp
Mon chien mange le moins vite,Mon chien mange le moins vite,0,1.0,mon chien mange le moins vite,mon chien mange le moins vite,0,1.0,2025-08-09 14:37:41
L'oiseau a des oreilles cachees,L'oiseau a des oreilles cachées,1,0.967741935483871,l'oiseau a des oreilles cachees,l'oiseau a des oreilles cachees,0,1.0,2025-08-09 14:38:30
Il bois son lait proprement,Il boit son lait proprement,1,0.962962962962963,il bois son lait proprement,il boit son lait proprement,1,0.962962962962963,2025-08-09 14:39:01
Mon chien a les oreilles les plus petites,Mon chien a les oreilles les plus petites,0,1.0,mon chien a les oreilles les plus petites,mon chien a les oreilles les plus petites,0,1.0,2025-08-09 14:39:34
Ta grenouille mange vite,Ta grenouille mange vite,0,1.0,ta grenouille mange vite,ta grenouille mange vite,0,1.0,2025-08-09 14:42:08
Mon perroquet parle le plus souvant,Mon perroquet parle le plus souvent,1,0.9714285714285714,mon perroquet parle le plus souvant,mon perroquet parle le plus souvent,1,0.9714285714285714,2025-08-09 14:42:42
C'est le plus sure pour ne pas mordre,C'est le plus sûr pour ne pas mordre,2,0.9589041095890412,c'est le plus sure pour ne pas mordre,c'est le plus sur pour ne pas mordre,1,0.9863013698630136,2025-08-09 14:43:27
ton chat mange le plus rarement,ton chat mange le plus rarement,0,1.0,ton chat mange le plus rarement,ton chat mange le plus rarement,0,1.0,2025-08-09 14:44:35
Je regarderai une etoile,Je regarderai une étoile,1,0.9583333333333334,je regarderai une etoile,je regarderai une etoile,0,1.0,2025-08-16 13:08:01
On en trouve dix ici,On en trouve dix ici,0,1.0,on en trouve dix ici,on en trouve dix ici,0,1.0,2025-08-16 13:08:30
mon pere reparait tout,Mon père réparait tout,3,0.8636363636363636,mon pere reparait tout,mon pere reparait tout,0,1.0,2025-08-16 13:09:59
Il est retourné a Paris,Il est retourné à Paris,1,0.9565217391304348,il est retourne a paris,il est retourne a paris,0,1.0,2025-08-16 13:11:32
As tu deja envie de lui revoir,As-tu déjà envie de le revoir,5,0.847457627118644,as tu deja envie de lui revoir,astu deja envie de le revoir,3,0.9310344827586208,2025-08-16 13:13:26
felicitations tu as reussis,"Félicitations, tu as réussi",5,0.8518518518518519,felicitations tu as reussis,felicitations tu as reussi,1,0.981132075471698,2025-08-25 17:56:51
Pourquoi prends tu des conges maintenant,Pourquoi prends tu des congés maintenant,1,0.975,pourquoi prends tu des conges maintenant,pourquoi prends tu des conges maintenant,0,1.0,2025-08-25 20:20:14
Tous sont soulages apres le success,Tous sont soulagés après le succès,4,0.8985507246376812,tous sont soulages apres le success,tous sont soulages apres le succes,1,0.9855072463768116,2025-08-25 20:20:43
Le succes etait notre but,Le succès était notre but,2,0.92,le succes etait notre but,le succes etait notre but,0,1.0,2025-08-25 20:21:06
Cette petite sac pesse solement trois kilos,Ce petit sac pèse seulement trois kilos,8,0.8780487804878049,cette petite sac pesse solement trois kilos,ce petit sac pese seulement trois kilos,7,0.9024390243902439,2025-10-02 20:14:29
